Fecha,Producto,Categoría,Cantidad,Precio Unitario,Vendedor,Promoción,Hora,EsFinDeSemana,EsFestivo,NombreFestivo
2023-04-16,Monitor,Electrónica,4,455.86,María,No,17,1,0,
2022-04-26,Tablet,Electrónica,5,1163.63,María,No,19,0,0,
2023-01-22,Laptop,Electrónica,2,1656.95,Jorge,No,20,1,0,
2022-02-27,Cargador,Accesorios,3,36.37,Pedro,Sí,13,1,0,
2024-01-03,Teclado,Accesorios,5,73.08,Pedro,No,20,0,0,
2025-07-22,Cargador,Accesorios,4,31.52,Pedro,No,12,0,0,
2025-05-01,Mouse,Accesorios,4,12.49,Jorge,Sí,10,0,0,
2023-03-25,Tablet,Electrónica,5,736.06,Pedro,No,17,1,0,
2023-02-15,Disco SSD,Componentes,1,67.74,Ana,No,14,0,0,
2022-07-14,Disco SSD,Componentes,1,86.37,Luisa,Sí,11,0,0,
2025-10-08,Disco SSD,Componentes,1,75.71,Luisa,No,17,0,0,
2025-06-24,Tablet,Electrónica,1,463.83,Luisa,Sí,18,0,0,
2025-07-03,Teclado,Accesorios,1,140.86,Luisa,Sí,20,0,0,
2024-07-15,Monitor,Electrónica,3,252.58,Pedro,No,8,0,0,
2023-06-12,Cargador,Accesorios,1,42.05,Carlos,No,13,0,0,
2024-01-11,Monitor,Electrónica,1,162.05,Ana,No,15,0,0,
2025-11-06,Monitor,Electrónica,3,211.68,Luisa,Sí,16,0,0,
2023-01-01,Audífonos,Accesorios,6,245.57,Luisa,Sí,18,1,1,Año Nuevo
2023-02-05,Mouse,Accesorios,2,36.36,Jorge,No,16,1,0,
2024-07-28,Tablet,Electrónica,5,713.59,Jorge,No,20,1,0,
2025-05-14,Audífonos,Accesorios,4,210.11,Luisa,Sí,12,0,0,
2025-08-26,Mouse,Accesorios,1,39.91,Jorge,No,20,0,0,
2022-03-15,Cargador,Accesorios,1,35.91,Carlos,Sí,13,0,0,
2023-03-25,Mouse,Accesorios,6,54.86,Ana,Sí,18,1,0,
2025-01-13,Audífonos,Accesorios,2,141.02,Ana,Sí,20,0,0,
2023-08-09,Audífonos,Accesorios,1,142.89,Carlos,Sí,18,0,0,
2023-05-23,Tablet,Electrónica,1,760.35,María,No,18,0,0,
2025-02-10,Cargador,Accesorios,2,16.54,Ana,Sí,17,0,0,
2025-11-26,Cargador,Accesorios,8,49.49,Carlos,Sí,12,0,0,
2023-11-29,Mouse,Accesorios,5,70.22,Carlos,Sí,15,0,0,
2023-08-22,Mouse,Accesorios,5,33.51,Luisa,No,13,0,0,
2025-09-01,Cargador,Accesorios,1,48.94,Jorge,No,11,0,0,
2022-02-22,Tablet,Electrónica,4,604.26,Carlos,No,10,0,0,
2024-02-20,Monitor,Electrónica,1,221.48,Luisa,No,19,0,0,
2022-11-27,Audífonos,Accesorios,8,146.05,Jorge,Sí,17,1,0,
2023-02-07,Mouse,Accesorios,5,21.25,Pedro,Sí,20,0,0,
2022-09-25,Laptop,Electrónica,6,1187.83,Jorge,No,12,1,0,
2024-06-09,Disco SSD,Componentes,4,180.62,Pedro,No,16,1,0,
2024-03-26,Audífonos,Accesorios,4,117.19,Luisa,No,15,0,0,
2024-02-10,Teclado,Accesorios,6,144.93,María,No,8,1,0,
2024-10-25,Tablet,Electrónica,3,321.88,Jorge,No,20,0,0,
2024-12-18,Audífonos,Accesorios,4,281.95,Pedro,Sí,18,0,0,
2024-10-18,Audífonos,Accesorios,2,77.39,Pedro,No,19,0,0,
2023-02-16,Monitor,Electrónica,4,401.76,Jorge,No,14,0,0,
2024-05-17,Teclado,Accesorios,3,22.97,Carlos,No,18,0,0,
2025-05-02,Monitor,Electrónica,4,364.44,Jorge,No,12,0,0,
2022-06-24,Monitor,Electrónica,1,257.85,Pedro,No,19,0,0,
2023-01-09,Audífonos,Accesorios,3,182.48,Pedro,No,15,0,0,
2025-12-05,Tablet,Electrónica,6,635.26,Carlos,Sí,8,0,0,
2025-05-21,Laptop,Electrónica,4,886.61,Jorge,No,14,0,0,
2024-09-27,Disco SSD,Componentes,5,273.18,Ana,No,11,0,0,
2023-06-05,Teclado,Accesorios,5,69.34,Jorge,No,17,0,0,
2025-04-17,Mouse,Accesorios,4,73.03,Ana,No,17,0,0,
2022-04-30,Cargador,Accesorios,7,34.48,Luisa,Sí,12,1,0,
2024-04-07,Monitor,Electrónica,6,208.04,Ana,Sí,20,1,0,
2022-06-08,Monitor,Electrónica,5,484.17,María,Sí,13,0,0,
2024-08-24,Monitor,Electrónica,3,476.54,Jorge,No,17,1,0,
2024-03-01,Monitor,Electrónica,1,527.61,Ana,No,17,0,0,
2025-09-28,Cargador,Accesorios,4,15.67,Jorge,No,16,1,0,
2022-04-12,Monitor,Electrónica,1,411.81,Luisa,No,14,0,0,
2022-12-16,Laptop,Electrónica,5,1497.25,María,Sí,15,0,0,
2022-03-11,Teclado,Accesorios,4,28.04,Jorge,Sí,12,0,0,
2023-11-27,Disco SSD,Componentes,8,287.38,Pedro,Sí,14,0,0,
2023-09-23,Cargador,Accesorios,6,12.31,María,No,16,1,0,
2025-09-20,Teclado,Accesorios,7,90.75,María,No,11,1,0,
2023-01-04,Teclado,Accesorios,3,113.77,Jorge,Sí,19,0,0,
2025-03-15,Cargador,Accesorios,6,26.78,Ana,No,11,1,0,
2022-09-06,Disco SSD,Componentes,4,334.14,María,No,14,0,0,
2024-11-12,Tablet,Electrónica,6,324.44,Luisa,Sí,18,0,0,
2025-05-08,Audífonos,Accesorios,2,235.47,Luisa,Sí,10,0,0,
2023-03-18,Disco SSD,Componentes,5,139.1,Pedro,No,13,1,0,
2022-08-29,Laptop,Electrónica,5,1548.69,Pedro,No,17,0,0,
2023-04-26,Monitor,Electrónica,1,411.4,Jorge,No,17,0,0,
2022-01-15,Teclado,Accesorios,7,116.11,Ana,Sí,17,1,0,
2022-03-30,Disco SSD,Componentes,5,222.76,Ana,No,17,0,0,
2023-07-15,Audífonos,Accesorios,2,227.57,Luisa,Sí,13,1,0,
2025-05-13,Laptop,Electrónica,4,1428.97,Ana,Sí,20,0,0,
2023-03-10,Tablet,Electrónica,5,529.57,Ana,Sí,20,0,0,
2024-06-27,Laptop,Electrónica,4,1026.31,Luisa,Sí,11,0,0,
2024-10-04,Monitor,Electrónica,2,174.36,María,Sí,13,0,0,
2022-04-02,Mouse,Accesorios,3,61.36,María,No,13,1,0,
2024-09-01,Mouse,Accesorios,6,23.62,Luisa,Sí,18,1,0,
2024-08-26,Audífonos,Accesorios,1,297.85,Ana,Sí,13,0,0,
2024-09-04,Monitor,Electrónica,2,544.32,Ana,No,12,0,0,
2025-03-18,Tablet,Electrónica,2,916.7,Jorge,No,20,0,0,
2022-10-10,Disco SSD,Componentes,3,107.45,Luisa,Sí,17,0,0,
2025-09-22,Mouse,Accesorios,2,68.91,Carlos,No,18,0,0,
2023-02-24,Mouse,Accesorios,3,34.39,Luisa,Sí,12,0,0,
2025-10-26,Disco SSD,Componentes,8,194.79,Ana,Sí,19,1,0,
2025-08-20,Laptop,Electrónica,4,1449.69,Luisa,Sí,8,0,0,
2022-05-29,Laptop,Electrónica,8,883.55,Pedro,No,18,1,0,
2022-10-15,Laptop,Electrónica,5,1671.51,Ana,No,9,1,0,
2023-05-03,Disco SSD,Componentes,1,104.68,Carlos,No,19,0,0,
2025-04-28,Laptop,Electrónica,3,1570.18,Jorge,Sí,11,0,0,
2024-08-15,Tablet,Electrónica,5,935.19,Carlos,No,11,0,0,
2025-12-16,Cargador,Accesorios,2,26.77,Pedro,Sí,17,0,0,
2024-04-15,Cargador,Accesorios,5,52.53,Carlos,No,18,0,0,
2024-09-22,Audífonos,Accesorios,3,66.04,Ana,Sí,18,1,0,
2024-06-21,Laptop,Electrónica,1,1611.63,Carlos,Sí,18,0,0,
2024-04-18,Disco SSD,Componentes,1,218.39,Pedro,No,19,0,0,
2023-08-23,Laptop,Electrónica,3,1645.86,Carlos,Sí,18,0,0,
2024-11-12,Teclado,Accesorios,5,134.37,María,Sí,12,0,0,
2022-02-06,Laptop,Electrónica,6,1496.94,Carlos,No,18,1,0,
2024-03-23,Laptop,Electrónica,8,1621.5,Carlos,No,18,1,0,
2025-09-21,Audífonos,Accesorios,7,287.56,Pedro,No,16,1,0,
2022-04-21,Cargador,Accesorios,4,56.81,Carlos,No,11,0,0,
2023-06-03,Audífonos,Accesorios,7,259.18,Pedro,Sí,15,1,0,
2025-09-19,Monitor,Electrónica,1,375.0,María,No,18,0,0,
2025-01-01,Teclado,Accesorios,5,131.02,Luisa,Sí,15,0,1,Año Nuevo
2025-08-31,Monitor,Electrónica,6,198.21,María,No,15,1,0,
2022-05-20,Audífonos,Accesorios,3,234.42,Luisa,No,10,0,0,
2023-09-26,Monitor,Electrónica,2,533.39,Jorge,No,10,0,0,
2022-04-13,Tablet,Electrónica,3,557.57,Jorge,No,19,0,0,
2024-11-17,Tablet,Electrónica,8,1039.83,Carlos,No,11,1,0,
2025-09-09,Laptop,Electrónica,3,1277.16,María,Sí,11,0,0,
2022-10-08,Audífonos,Accesorios,6,136.97,Jorge,No,19,1,0,
2022-12-27,Audífonos,Accesorios,6,169.46,María,Sí,14,0,0,
2022-12-18,Laptop,Electrónica,7,823.0,Jorge,Sí,8,1,0,
2023-04-16,Disco SSD,Componentes,8,123.96,María,No,18,1,0,
2025-03-07,Teclado,Accesorios,5,79.19,Ana,No,19,0,0,
2022-05-14,Audífonos,Accesorios,2,244.81,Luisa,No,20,1,0,
2022-12-13,Cargador,Accesorios,9,47.61,Ana,Sí,20,0,0,
2024-08-18,Tablet,Electrónica,7,1116.9,Carlos,No,16,1,0,
2025-09-16,Teclado,Accesorios,1,27.32,Ana,No,12,0,0,
2022-09-01,Monitor,Electrónica,1,219.66,María,Sí,16,0,0,
2022-02-02,Teclado,Accesorios,3,138.51,Ana,Sí,17,0,0,
2022-04-13,Mouse,Accesorios,3,13.96,Jorge,No,13,0,0,
2025-11-25,Disco SSD,Componentes,2,256.9,Luisa,No,19,0,1,Black Friday Simulado
2024-11-11,Disco SSD,Componentes,7,146.85,María,Sí,20,0,0,
2025-07-30,Cargador,Accesorios,2,58.44,María,Sí,19,0,0,
2025-10-13,Disco SSD,Componentes,3,221.5,Ana,Sí,17,0,0,
2024-03-05,Mouse,Accesorios,2,40.53,Luisa,No,12,0,0,
2024-11-18,Laptop,Electrónica,4,879.89,Jorge,Sí,8,0,0,
2023-12-19,Tablet,Electrónica,6,1087.37,Carlos,Sí,14,0,0,
2024-05-27,Monitor,Electrónica,3,512.82,Pedro,No,20,0,0,
2022-01-16,Teclado,Accesorios,5,100.5,Carlos,No,15,1,0,
2023-10-12,Audífonos,Accesorios,3,108.02,Luisa,No,12,0,0,
2023-10-08,Tablet,Electrónica,7,1110.95,Carlos,No,16,1,0,
2025-11-12,Tablet,Electrónica,6,959.41,Ana,Sí,17,0,0,
2023-09-02,Tablet,Electrónica,2,368.18,Ana,No,13,1,0,
2023-02-28,Teclado,Accesorios,4,36.0,Luisa,No,17,0,0,
2022-05-18,Laptop,Electrónica,2,906.69,Pedro,Sí,12,0,0,
2023-01-18,Audífonos,Accesorios,1,203.03,María,Sí,8,0,0,
2024-01-06,Tablet,Electrónica,5,840.71,Ana,No,12,1,0,
2022-09-13,Monitor,Electrónica,5,182.73,Luisa,Sí,13,0,0,
2022-01-23,Audífonos,Accesorios,5,77.14,Carlos,Sí,13,1,0,
2023-07-17,Cargador,Accesorios,5,36.23,Luisa,Sí,11,0,0,
2022-01-15,Teclado,Accesorios,3,102.1,Jorge,Sí,16,1,0,
2023-06-30,Tablet,Electrónica,2,733.26,Pedro,No,13,0,0,
2023-02-16,Tablet,Electrónica,5,432.31,Jorge,Sí,10,0,0,
2022-02-08,Monitor,Electrónica,5,568.67,Pedro,No,19,0,0,
2025-03-15,Teclado,Accesorios,4,34.3,María,No,20,1,0,
2023-02-24,Tablet,Electrónica,4,724.17,Carlos,No,18,0,0,
2023-11-24,Cargador,Accesorios,8,32.58,María,Sí,12,0,0,
2022-07-05,Tablet,Electrónica,1,392.52,Luisa,No,11,0,0,
2025-11-27,Teclado,Accesorios,6,67.12,Carlos,Sí,12,0,0,
2022-11-22,Teclado,Accesorios,6,91.93,Pedro,Sí,12,0,0,
2022-05-22,Disco SSD,Componentes,6,94.72,Jorge,No,14,1,0,
2024-01-27,Tablet,Electrónica,8,805.73,Pedro,No,12,1,0,
2025-02-26,Cargador,Accesorios,3,31.01,Carlos,No,12,0,0,
2024-11-11,Audífonos,Accesorios,8,149.41,Pedro,Sí,18,0,0,
2022-06-20,Laptop,Electrónica,5,829.77,Pedro,Sí,18,0,0,
2022-07-18,Tablet,Electrónica,5,965.75,Pedro,No,16,0,0,
2022-03-20,Monitor,Electrónica,5,190.99,María,No,11,1,0,
2023-02-20,Teclado,Accesorios,3,123.14,Jorge,Sí,18,0,0,
2022-12-15,Tablet,Electrónica,8,258.43,Jorge,Sí,13,0,0,
2024-11-03,Tablet,Electrónica,11,529.03,Pedro,Sí,13,1,0,
2025-11-14,Monitor,Electrónica,8,425.84,Carlos,Sí,15,0,0,
2025-12-24,Cargador,Accesorios,6,13.64,Carlos,No,14,0,1,Noche Buena
2024-02-16,Mouse,Accesorios,5,69.71,Jorge,No,20,0,0,
2023-08-25,Tablet,Electrónica,1,473.65,Carlos,Sí,18,0,0,
2024-12-26,Cargador,Accesorios,5,48.73,Ana,Sí,16,0,0,
2022-12-14,Teclado,Accesorios,7,88.0,María,Sí,19,0,0,
2022-12-18,Cargador,Accesorios,6,50.35,Ana,Sí,11,1,0,
2023-06-01,Laptop,Electrónica,4,703.65,Pedro,No,18,0,0,
2022-02-26,Cargador,Accesorios,6,32.97,María,Sí,8,1,0,
2025-01-10,Disco SSD,Componentes,2,241.28,Pedro,No,12,0,0,
2023-12-06,Audífonos,Accesorios,8,144.12,Carlos,No,20,0,0,
2025-11-26,Teclado,Accesorios,2,36.82,María,Sí,13,0,0,
2024-11-17,Mouse,Accesorios,11,27.31,Pedro,Sí,18,1,0,
2025-10-01,Laptop,Electrónica,2,1599.39,Jorge,No,12,0,0,
2023-12-21,Teclado,Accesorios,7,129.72,Carlos,Sí,11,0,0,
2023-03-25,Teclado,Accesorios,4,46.28,María,No,17,1,0,
2023-03-19,Teclado,Accesorios,3,75.18,Carlos,No,14,1,0,
2025-09-19,Teclado,Accesorios,5,36.57,Carlos,Sí,13,0,0,
2024-07-04,Mouse,Accesorios,5,45.54,Carlos,Sí,18,0,1,Día Especial
2024-11-21,Cargador,Accesorios,5,42.21,Jorge,Sí,12,0,0,
2024-08-11,Disco SSD,Componentes,7,86.6,Jorge,No,14,1,0,
2024-11-28,Audífonos,Accesorios,5,161.41,Ana,Sí,17,0,0,
2024-03-05,Tablet,Electrónica,2,401.15,Luisa,Sí,10,0,0,
2022-04-19,Cargador,Accesorios,4,25.22,Ana,No,13,0,0,
2024-02-01,Disco SSD,Componentes,2,249.14,Ana,No,11,0,0,
2023-02-27,Laptop,Electrónica,4,1529.07,Carlos,Sí,18,0,0,
2024-05-05,Cargador,Accesorios,6,16.65,Luisa,Sí,18,1,0,
2024-04-06,Laptop,Electrónica,6,1133.57,Luisa,No,12,1,0,
2024-03-24,Cargador,Accesorios,4,9.97,Ana,Sí,13,1,0,
2022-05-01,Teclado,Accesorios,3,142.75,Luisa,No,20,1,0,
2022-04-22,Mouse,Accesorios,2,31.49,Carlos,No,16,0,0,
2023-12-31,Disco SSD,Componentes,4,208.85,Jorge,No,16,1,0,
2023-08-01,Monitor,Electrónica,3,537.99,Carlos,No,12,0,0,
2023-01-20,Disco SSD,Componentes,1,280.74,Ana,No,15,0,0,
2025-10-06,Audífonos,Accesorios,1,196.24,Ana,Sí,12,0,0,
2025-06-16,Teclado,Accesorios,1,66.98,Pedro,Sí,20,0,0,
2025-09-25,Mouse,Accesorios,4,49.86,Luisa,Sí,18,0,0,
2022-12-01,Laptop,Electrónica,7,1174.09,Carlos,Sí,20,0,0,
2022-02-23,Teclado,Accesorios,5,146.16,Luisa,No,19,0,0,
2025-05-21,Disco SSD,Componentes,5,212.26,Jorge,No,18,0,0,
2024-12-21,Monitor,Electrónica,7,369.51,Pedro,No,19,1,0,
2025-07-17,Mouse,Accesorios,1,24.96,Carlos,Sí,16,0,0,
2024-08-30,Laptop,Electrónica,2,1392.14,Jorge,No,11,0,0,
2023-02-20,Monitor,Electrónica,2,253.6,Jorge,Sí,13,0,0,
2023-12-09,Cargador,Accesorios,8,55.71,Jorge,Sí,11,1,0,
2023-01-16,Tablet,Electrónica,3,572.24,Pedro,No,12,0,0,
2022-05-12,Disco SSD,Componentes,3,296.44,María,No,10,0,0,
2023-03-30,Laptop,Electrónica,2,1067.39,Pedro,Sí,13,0,0,
2023-05-11,Audífonos,Accesorios,1,197.69,Ana,Sí,16,0,0,
2023-07-22,Monitor,Electrónica,7,217.4,Luisa,Sí,20,1,0,
2023-09-13,Disco SSD,Componentes,3,157.44,Jorge,No,13,0,0,
2024-11-26,Disco SSD,Componentes,4,175.93,María,Sí,13,0,0,
2022-01-13,Cargador,Accesorios,1,58.0,Carlos,No,12,0,0,
2025-10-07,Teclado,Accesorios,2,53.8,Ana,No,15,0,0,
2022-10-27,Laptop,Electrónica,4,1176.72,Ana,No,13,0,0,
2025-01-29,Laptop,Electrónica,1,1160.79,María,No,17,0,0,
2023-07-20,Cargador,Accesorios,4,57.2,María,No,18,0,0,
2024-05-16,Laptop,Electrónica,3,1002.49,Ana,No,13,0,0,
2025-06-22,Monitor,Electrónica,3,461.09,Ana,No,13,1,0,
2025-10-16,Cargador,Accesorios,4,25.55,Ana,No,12,0,0,
2024-10-07,Monitor,Electrónica,2,206.25,Ana,No,18,0,0,
2023-03-06,Disco SSD,Componentes,3,337.72,Pedro,Sí,13,0,0,
2023-05-30,Monitor,Electrónica,4,588.93,Jorge,Sí,19,0,0,
2025-07-13,Teclado,Accesorios,6,30.69,María,Sí,17,1,0,
2022-09-02,Disco SSD,Componentes,1,174.35,Luisa,Sí,12,0,0,
2024-08-20,Monitor,Electrónica,5,422.05,Ana,Sí,19,0,0,
2022-06-02,Audífonos,Accesorios,5,215.35,María,Sí,19,0,0,
2022-01-07,Disco SSD,Componentes,2,53.5,Luisa,No,16,0,0,
2025-02-05,Audífonos,Accesorios,5,289.09,Pedro,No,19,0,0,
2023-11-07,Cargador,Accesorios,3,25.83,Luisa,Sí,20,0,0,
2022-07-12,Disco SSD,Componentes,4,133.57,Ana,No,19,0,0,
2023-02-09,Disco SSD,Componentes,5,50.84,Jorge,No,19,0,0,
2023-07-20,Audífonos,Accesorios,3,202.47,Luisa,No,13,0,0,
2025-08-12,Monitor,Electrónica,1,254.11,Jorge,Sí,15,0,0,
2022-08-03,Monitor,Electrónica,2,492.23,Ana,No,20,0,0,
2024-12-23,Teclado,Accesorios,9,95.36,Pedro,Sí,19,0,0,
2023-09-10,Laptop,Electrónica,3,713.77,Carlos,Sí,14,1,0,
2022-01-03,Cargador,Accesorios,3,12.84,Jorge,No,13,0,0,
2025-04-10,Monitor,Electrónica,4,577.84,Pedro,No,12,0,0,
2022-03-17,Teclado,Accesorios,2,106.63,Carlos,Sí,20,0,0,
2025-07-09,Disco SSD,Componentes,5,301.07,Pedro,Sí,16,0,0,
2024-04-19,Monitor,Electrónica,4,177.46,Luisa,Sí,15,0,0,
2022-06-19,Laptop,Electrónica,3,1772.93,Jorge,Sí,10,1,0,
2025-07-23,Laptop,Electrónica,4,1595.04,Luisa,Sí,8,0,0,
2025-06-02,Audífonos,Accesorios,5,69.33,Jorge,No,18,0,0,
2024-02-06,Mouse,Accesorios,3,18.51,Pedro,No,18,0,0,
2024-05-21,Tablet,Electrónica,4,1149.13,Luisa,No,18,0,0,
2025-09-04,Audífonos,Accesorios,1,145.33,Pedro,Sí,13,0,0,
2024-12-08,Teclado,Accesorios,10,147.45,María,Sí,19,1,0,
2025-03-31,Laptop,Electrónica,1,1485.94,Pedro,Sí,14,0,0,
2025-07-16,Cargador,Accesorios,2,52.85,Pedro,Sí,13,0,0,
2025-08-24,Teclado,Accesorios,7,105.64,Carlos,Sí,13,1,0,
2025-10-03,Teclado,Accesorios,3,125.11,Ana,No,19,0,0,
2022-08-17,Cargador,Accesorios,3,35.56,Jorge,Sí,12,0,0,
2025-05-14,Mouse,Accesorios,1,21.67,Jorge,Sí,11,0,0,
2024-06-25,Mouse,Accesorios,1,72.56,Jorge,No,8,0,0,
2023-01-07,Mouse,Accesorios,2,38.24,Pedro,Sí,16,1,0,
2023-07-12,Monitor,Electrónica,5,518.06,Luisa,Sí,19,0,0,
2023-06-19,Cargador,Accesorios,1,20.48,María,No,15,0,0,
2022-11-17,Laptop,Electrónica,7,1715.82,Ana,Sí,17,0,0,
2024-03-25,Tablet,Electrónica,5,1050.99,María,No,16,0,0,
2025-08-02,Teclado,Accesorios,6,67.36,Pedro,No,12,1,0,
2025-10-11,Audífonos,Accesorios,3,113.19,Ana,No,18,1,0,
2025-02-03,Audífonos,Accesorios,3,178.09,Pedro,No,14,0,0,
2023-01-30,Monitor,Electrónica,4,293.87,Ana,No,18,0,0,
2024-10-23,Cargador,Accesorios,3,12.3,Luisa,No,17,0,0,
2023-03-27,Cargador,Accesorios,5,40.74,Luisa,No,9,0,0,
2022-12-07,Cargador,Accesorios,6,35.57,Pedro,Sí,12,0,0,
2022-08-29,Teclado,Accesorios,1,115.88,Pedro,No,20,0,0,
2025-06-05,Disco SSD,Componentes,5,233.02,Ana,No,13,0,0,
2023-03-10,Monitor,Electrónica,1,351.37,Luisa,Sí,12,0,0,
2023-11-02,Laptop,Electrónica,6,1495.41,Ana,Sí,13,0,0,
2025-03-18,Monitor,Electrónica,4,400.7,María,No,13,0,0,
2023-03-28,Monitor,Electrónica,1,192.2,Pedro,No,16,0,0,
2023-12-05,Cargador,Accesorios,6,11.64,Ana,Sí,16,0,0,
2024-03-29,Audífonos,Accesorios,3,207.23,Jorge,Sí,20,0,0,
2024-10-09,Tablet,Electrónica,5,279.65,Jorge,Sí,19,0,0,
2024-06-21,Audífonos,Accesorios,3,43.9,Luisa,Sí,18,0,0,
2023-02-19,Audífonos,Accesorios,6,34.49,Luisa,Sí,18,1,0,
2023-03-24,Tablet,Electrónica,5,368.84,Luisa,Sí,19,0,0,
2023-07-18,Monitor,Electrónica,2,179.53,Carlos,Sí,19,0,0,
2024-07-15,Monitor,Electrónica,3,164.72,Luisa,Sí,14,0,0,
2024-02-06,Audífonos,Accesorios,5,149.19,Luisa,No,20,0,0,
2025-05-22,Teclado,Accesorios,4,111.49,Jorge,No,18,0,0,
2023-01-28,Monitor,Electrónica,4,445.58,Luisa,No,16,1,0,
2025-11-03,Laptop,Electrónica,8,760.93,María,Sí,16,0,0,
2023-11-13,Mouse,Accesorios,4,12.48,Luisa,No,19,0,0,
2025-03-12,Tablet,Electrónica,4,828.33,Ana,Sí,19,0,0,
2022-01-23,Teclado,Accesorios,3,128.78,Carlos,No,13,1,0,
2023-10-11,Tablet,Electrónica,3,646.14,Jorge,No,19,0,0,
2025-08-11,Cargador,Accesorios,2,48.74,Ana,No,18,0,0,
2025-01-20,Audífonos,Accesorios,4,135.78,María,Sí,16,0,0,
2023-06-15,Cargador,Accesorios,4,14.76,Jorge,No,19,0,0,
2025-03-09,Mouse,Accesorios,6,24.96,María,Sí,19,1,0,
2022-01-07,Teclado,Accesorios,4,41.36,Carlos,Sí,20,0,0,
2025-07-26,Mouse,Accesorios,6,64.63,Ana,No,14,1,0,
2024-08-18,Cargador,Accesorios,5,33.86,Jorge,Sí,12,1,0,
2024-08-22,Audífonos,Accesorios,5,144.14,Ana,Sí,20,0,0,
2024-09-20,Audífonos,Accesorios,5,128.96,Luisa,No,12,0,0,
2025-06-08,Teclado,Accesorios,3,57.62,Ana,Sí,15,1,0,
2025-12-27,Tablet,Electrónica,9,1088.28,Pedro,Sí,15,1,0,
2023-12-12,Laptop,Electrónica,2,1660.47,Pedro,No,12,0,0,
2023-08-20,Tablet,Electrónica,5,767.74,Luisa,Sí,12,1,0,
2024-07-04,Laptop,Electrónica,3,1472.54,Carlos,No,20,0,1,Día Especial
2023-04-22,Cargador,Accesorios,8,31.35,Luisa,No,18,1,0,
