"tarjeta"|"monto"|"comercio"|"fecha"|"tipo"
56|644.15|"Supermercados"|2020-01-28|"transaccion"
37|1126.67|"Abarroterias"|2020-05-14|"transaccion"
7|2666.68|"Tiendas por Departamento"|2020-05-29|"transaccion"
21|2162.59|"Supermercados"|2020-04-02|"transaccion"
90|1074.47|"Supermercados"|2020-01-15|"transaccion"
19|702.11|"Electronicos"|2020-06-05|"transaccion"
37|1419.78|"Gasolineras"|2020-03-16|"transaccion"
20|1188.45|"Comercio General"|2020-01-15|"transaccion"
22|1775.93|"Restaurantes"|2020-06-01|"transaccion"
2|1604.53|"Supermercados"|2020-01-14|"transaccion"
30|1640.04|"Restaurantes"|2020-01-20|"transaccion"
24|1625.19|"Tiendas por Departamento"|2020-01-31|"transaccion"
19|1268.39|"Tiendas por Departamento"|2020-05-28|"transaccion"
25|1886.92|"Farmacias"|2020-05-29|"transaccion"
7|1482.29|"Restaurantes"|2020-05-27|"transaccion"
80|1267.42|"Supermercados"|2020-05-07|"transaccion"
4|1402.22|"Electronicos"|2020-04-26|"transaccion"
44|0|"Supermercados"|2020-02-02|"reconciliacion"
92|744.05|"Tiendas por Departamento"|2020-05-06|"transaccion"
68|1028.98|"Supermercados"|2020-05-18|"transaccion"
70|220.18|"Restaurantes"|2020-03-28|"transaccion"
35|1496.33|"Supermercados"|2020-05-18|"transaccion"
12|2391.52|"Restaurantes"|2020-01-16|"transaccion"
80|2013.47|"Restaurantes"|2020-02-14|"transaccion"
97|2334.99|"Supermercados"|2020-04-01|"transaccion"
89|474.81|"Comercio General"|2020-01-10|"transaccion"
74|581.38|"Supermercados"|2020-06-04|"transaccion"
9|283.05|"Abarroterias"|2020-05-19|"transaccion"
100|1144.01|"Supermercados"|2020-05-17|"transaccion"
14|1836.83|"Gasolineras"|2020-01-10|"transaccion"
85|1169.51|"Electronicos"|2020-04-02|"transaccion"
39|2186.45|"Restaurantes"|2020-03-09|"transaccion"
65|2092.69|"Restaurantes"|2020-03-04|"transaccion"
13|1090.08|"Supermercados"|2020-05-09|"transaccion"
85|1256.46|"Comercio General"|2020-04-26|"transaccion"
9|1925.88|"Restaurantes"|2020-01-11|"transaccion"
78|1378.02|"Restaurantes"|2020-04-09|"transaccion"
84|473.02|"Farmacias"|2020-06-03|"transaccion"
87|1759.98|"Supermercados"|2020-02-14|"transaccion"
45|2304.91|"Tiendas por Departamento"|2020-01-15|"transaccion"
91|1366.36|"Supermercados"|2020-02-25|"transaccion"
24|1823.55|"Supermercados"|2020-02-18|"transaccion"
5|1536.38|"Supermercados"|2020-02-10|"transaccion"
82|2223.58|"Supermercados"|2020-06-12|"transaccion"
50|1228.6|"Gasolineras"|2020-06-20|"transaccion"
81|2215.78|"Tiendas por Departamento"|2020-01-05|"transaccion"
84|1369.86|"Supermercados"|2020-02-18|"transaccion"
95|1215.58|"Supermercados"|2020-01-30|"transaccion"
42|2286.94|"Restaurantes"|2020-04-10|"transaccion"
88|1273.16|"Gasolineras"|2020-05-30|"transaccion"
8|2307.11|"Abarroterias"|2020-03-16|"transaccion"
2|1308.77|"Comercio General"|2020-06-05|"transaccion"
66|341.64|"Electronicos"|2020-03-06|"transaccion"
93|991.9|"Abarroterias"|2020-05-04|"transaccion"
52|1995.69|"Supermercados"|2020-06-22|"transaccion"
4|1749.54|"Gasolineras"|2020-06-21|"transaccion"
30|1125.96|"Farmacias"|2020-02-27|"transaccion"
93|1257.48|"Restaurantes"|2020-06-02|"transaccion"
74|673.34|"Supermercados"|2020-04-23|"transaccion"
35|900.67|"Gasolineras"|2020-02-26|"transaccion"
63|767.71|"Supermercados"|2020-04-28|"transaccion"
45|1663.03|"Supermercados"|2020-04-01|"transaccion"
94|1764.62|"Supermercados"|2020-04-23|"transaccion"
12|1094.56|"Restaurantes"|2020-05-29|"transaccion"
97|1920.66|"Comercio General"|2020-04-23|"transaccion"
14|708.11|"Tiendas por Departamento"|2020-05-12|"transaccion"
39|1722.31|"Farmacias"|2020-01-06|"transaccion"
70|1471.85|"Comercio General"|2020-05-01|"transaccion"
92|1634.26|"Restaurantes"|2020-06-28|"transaccion"
61|849.6|"Ropa"|2020-04-30|"transaccion"
73|941.23|"Comercio General"|2020-06-08|"transaccion"
77|339.64|"Farmacias"|2020-05-20|"transaccion"
69|1516.72|"Gasolineras"|2020-04-15|"transaccion"
21|788.83|"Ropa"|2020-02-26|"transaccion"
58|914.93|"Abarroterias"|2020-05-29|"transaccion"
18|1240.42|"Restaurantes"|2020-02-11|"transaccion"
49|613|"Tiendas por Departamento"|2020-02-04|"transaccion"
19|596.68|"Tiendas por Departamento"|2020-02-08|"transaccion"
55|1104.52|"Gasolineras"|2020-05-28|"transaccion"
93|1302.73|"Restaurantes"|2020-03-02|"transaccion"
22|2028.27|"Restaurantes"|2020-06-15|"transaccion"
86|383.52|"Supermercados"|2020-05-14|"transaccion"
19|2228.19|"Restaurantes"|2020-01-27|"transaccion"
22|1847.66|"Supermercados"|2020-04-19|"transaccion"
91|1038.38|"Comercio General"|2020-02-19|"transaccion"
71|1030.77|"Gasolineras"|2020-05-04|"transaccion"
5|1213.82|"Farmacias"|2020-06-07|"transaccion"
93|1880.38|"Tiendas por Departamento"|2020-01-03|"transaccion"
32|1563.05|"Abarroterias"|2020-04-08|"transaccion"
37|1941.71|"Supermercados"|2020-03-05|"transaccion"
84|1425.09|"Comercio General"|2020-06-23|"transaccion"
74|1979.84|"Restaurantes"|2020-06-13|"transaccion"
44|1897.41|"Supermercados"|2020-05-26|"transaccion"
11|1144.33|"Comercio General"|2020-03-03|"transaccion"
11|1191.31|"Supermercados"|2020-03-31|"transaccion"
86|1773.62|"Restaurantes"|2020-02-23|"transaccion"
83|1773.6|"Farmacias"|2020-02-14|"transaccion"
49|2106.22|"Supermercados"|2020-01-11|"transaccion"
69|1864.89|"Restaurantes"|2020-06-04|"transaccion"
41|1574.17|"Tiendas por Departamento"|2020-03-09|"transaccion"
39|334.29|"Tiendas por Departamento"|2020-06-06|"transaccion"
96|1879.03|"Comercio General"|2020-04-07|"transaccion"
28|1111.69|"Supermercados"|2020-03-16|"transaccion"
23|1263.52|"Restaurantes"|2020-03-26|"transaccion"
20|2621.85|"Gasolineras"|2020-02-09|"transaccion"
74|1881.86|"Supermercados"|2020-01-28|"transaccion"
49|981.72|"Ropa"|2020-02-03|"transaccion"
76|2229.34|"Supermercados"|2020-05-13|"transaccion"
36|0|"Restaurantes"|2020-06-29|"reconciliacion"
16|1491.41|"Farmacias"|2020-02-28|"transaccion"
31|1668.22|"Supermercados"|2020-02-02|"transaccion"
62|1469.69|"Supermercados"|2020-05-28|"transaccion"
25|887|"Restaurantes"|2020-04-04|"transaccion"
100|2073.62|"Tiendas por Departamento"|2020-06-24|"transaccion"
77|1667.25|"Supermercados"|2020-03-20|"transaccion"
72|1282.01|"Restaurantes"|2020-01-08|"transaccion"
40|1658.8|"Restaurantes"|2020-01-21|"transaccion"
82|1293.2|"Supermercados"|2020-05-30|"transaccion"
74|1846.29|"Restaurantes"|2020-01-04|"transaccion"
72|1398.73|"Supermercados"|2020-01-16|"transaccion"
73|809.59|"Restaurantes"|2020-05-26|"transaccion"
19|1855.86|"Gasolineras"|2020-05-15|"transaccion"
76|970.47|"Gasolineras"|2020-04-01|"transaccion"
19|2852.17|"Supermercados"|2020-02-05|"transaccion"
24|2210.72|"Abarroterias"|2020-05-22|"transaccion"
90|2264.35|"Gasolineras"|2020-05-01|"transaccion"
14|2222.66|"Supermercados"|2020-06-01|"transaccion"
88|1648.47|"Supermercados"|2020-03-15|"transaccion"
14|1029.3|"Tiendas por Departamento"|2020-04-02|"transaccion"
30|1046.74|"Gasolineras"|2020-03-30|"transaccion"
67|2286.03|"Restaurantes"|2020-01-23|"transaccion"
60|2462.31|"Supermercados"|2020-02-03|"transaccion"
44|1264.6|"Restaurantes"|2020-05-11|"transaccion"
39|327.41|"Restaurantes"|2020-02-12|"transaccion"
18|1664.97|"Supermercados"|2020-06-16|"transaccion"
58|680.4|"Supermercados"|2020-05-19|"transaccion"
12|2479.16|"Gasolineras"|2020-04-23|"transaccion"
2|1837.5|"Restaurantes"|2020-01-09|"transaccion"
8|300.13|"Restaurantes"|2020-05-17|"transaccion"
58|1811.7|"Supermercados"|2020-05-15|"transaccion"
30|1467.75|"Restaurantes"|2020-04-12|"transaccion"
15|308.25|"Supermercados"|2020-01-20|"transaccion"
94|2608.02|"Electronicos"|2020-01-21|"transaccion"
58|1897.83|"Farmacias"|2020-02-19|"transaccion"
88|2386.81|"Supermercados"|2020-06-03|"transaccion"
21|1206.89|"Supermercados"|2020-05-08|"transaccion"
16|1281.33|"Restaurantes"|2020-02-27|"transaccion"
80|1139|"Restaurantes"|2020-02-26|"transaccion"
19|2202.35|"Supermercados"|2020-06-16|"transaccion"
12|1351.77|"Gasolineras"|2020-02-18|"transaccion"
95|1290.14|"Tiendas por Departamento"|2020-05-05|"transaccion"
96|1511.65|"Farmacias"|2020-01-03|"transaccion"
17|1927|"Supermercados"|2020-04-27|"transaccion"
77|1137.53|"Tiendas por Departamento"|2020-02-24|"transaccion"
12|1251.54|"Supermercados"|2020-01-09|"transaccion"
6|2283.43|"Supermercados"|2020-04-14|"transaccion"
65|1227.95|"Restaurantes"|2020-03-28|"transaccion"
24|2347.87|"Farmacias"|2020-05-14|"transaccion"
28|1874.04|"Ropa"|2020-06-06|"transaccion"
80|1347.1|"Supermercados"|2020-06-17|"transaccion"
63|469.6|"Gasolineras"|2020-06-02|"transaccion"
23|1997.89|"Supermercados"|2020-04-14|"transaccion"
51|1360.39|"Abarroterias"|2020-04-04|"transaccion"
15|1554.7|"Gasolineras"|2020-04-08|"transaccion"
12|1535.93|"Ropa"|2020-01-06|"transaccion"
28|1205.74|"Farmacias"|2020-02-16|"transaccion"
94|1610.59|"Restaurantes"|2020-04-17|"transaccion"
18|2430.21|"Tiendas por Departamento"|2020-03-12|"transaccion"
32|1693.82|"Restaurantes"|2020-03-22|"transaccion"
82|1550.72|"Tiendas por Departamento"|2020-04-11|"transaccion"
74|1890.77|"Farmacias"|2020-05-16|"transaccion"
82|782.1|"Ropa"|2020-02-12|"transaccion"
21|1516.15|"Gasolineras"|2020-06-06|"transaccion"
48|1733.59|"Gasolineras"|2020-05-02|"transaccion"
20|1765.19|"Abarroterias"|2020-01-15|"transaccion"
42|1082.37|"Restaurantes"|2020-02-24|"transaccion"
74|1747.85|"Restaurantes"|2020-05-05|"transaccion"
51|2557.92|"Tiendas por Departamento"|2020-05-12|"transaccion"
9|986.01|"Supermercados"|2020-03-08|"transaccion"
83|1461.72|"Supermercados"|2020-04-18|"transaccion"
68|0|"Restaurantes"|2020-02-29|"reconciliacion"
22|2096.49|"Supermercados"|2020-05-09|"transaccion"
100|2041.53|"Comercio General"|2020-04-17|"transaccion"
92|2054.92|"Restaurantes"|2020-01-07|"transaccion"
65|714.96|"Supermercados"|2020-06-14|"transaccion"
14|1401.45|"Supermercados"|2020-01-15|"transaccion"
42|1188.77|"Gasolineras"|2020-06-10|"transaccion"
38|978.38|"Supermercados"|2020-02-26|"transaccion"
19|2475.36|"Supermercados"|2020-05-16|"transaccion"
91|1323.14|"Gasolineras"|2020-01-05|"transaccion"
16|1434.78|"Comercio General"|2020-03-10|"transaccion"
5|1016.54|"Abarroterias"|2020-01-16|"transaccion"
20|1212.46|"Supermercados"|2020-01-19|"transaccion"
92|1086.11|"Ropa"|2020-03-06|"transaccion"
62|1640.42|"Restaurantes"|2020-02-06|"transaccion"
59|829.94|"Ropa"|2020-03-14|"transaccion"
93|1482.7|"Supermercados"|2020-06-10|"transaccion"
77|1569.02|"Tiendas por Departamento"|2020-05-01|"transaccion"
45|2076.67|"Gasolineras"|2020-03-19|"transaccion"
100|1246.99|"Gasolineras"|2020-04-28|"transaccion"
70|1129.63|"Supermercados"|2020-06-15|"transaccion"
76|1450.21|"Supermercados"|2020-03-16|"transaccion"
63|663.24|"Gasolineras"|2020-05-12|"transaccion"
80|1748.86|"Restaurantes"|2020-01-10|"transaccion"
22|2425.56|"Tiendas por Departamento"|2020-01-26|"transaccion"
52|1677.9|"Supermercados"|2020-05-19|"transaccion"
31|1937.56|"Farmacias"|2020-02-24|"transaccion"
63|1665.59|"Supermercados"|2020-04-12|"transaccion"
32|1586.53|"Tiendas por Departamento"|2020-03-18|"transaccion"
32|939.56|"Supermercados"|2020-01-25|"transaccion"
30|1553.06|"Restaurantes"|2020-04-13|"transaccion"
65|639.92|"Gasolineras"|2020-04-23|"transaccion"
69|920.17|"Restaurantes"|2020-01-18|"transaccion"
10|1612.7|"Supermercados"|2020-04-11|"transaccion"
1|1718.37|"Gasolineras"|2020-02-01|"transaccion"
90|1257.34|"Supermercados"|2020-03-18|"transaccion"
37|792.29|"Farmacias"|2020-05-16|"transaccion"
51|1831.04|"Gasolineras"|2020-05-19|"transaccion"
91|630.96|"Supermercados"|2020-03-07|"transaccion"
25|251.3|"Restaurantes"|2020-02-26|"transaccion"
63|1002.78|"Gasolineras"|2020-06-30|"transaccion"
55|374.94|"Supermercados"|2020-05-28|"transaccion"
59|661.62|"Gasolineras"|2020-05-21|"transaccion"
66|1581.68|"Gasolineras"|2020-04-27|"transaccion"
27|1654.88|"Supermercados"|2020-06-11|"transaccion"
96|933.78|"Tiendas por Departamento"|2020-02-08|"transaccion"
3|930.06|"Farmacias"|2020-02-07|"transaccion"
33|1931.25|"Restaurantes"|2020-01-12|"transaccion"
16|1165.47|"Gasolineras"|2020-04-14|"transaccion"
72|2867.49|"Restaurantes"|2020-02-02|"transaccion"
18|2344.88|"Tiendas por Departamento"|2020-01-07|"transaccion"
70|1524.82|"Restaurantes"|2020-04-11|"transaccion"
70|323.89|"Restaurantes"|2020-03-23|"transaccion"
85|1798.36|"Abarroterias"|2020-01-09|"transaccion"
76|1490.95|"Comercio General"|2020-03-30|"transaccion"
94|1096.68|"Gasolineras"|2020-04-17|"transaccion"
11|1451.86|"Restaurantes"|2020-04-18|"transaccion"
80|2183.88|"Supermercados"|2020-01-06|"transaccion"
30|72.36|"Comercio General"|2020-04-23|"transaccion"
21|2913.93|"Supermercados"|2020-05-15|"transaccion"
12|668.15|"Ropa"|2020-05-09|"transaccion"
83|2578.23|"Supermercados"|2020-03-09|"transaccion"
38|1969.96|"Supermercados"|2020-06-01|"transaccion"
73|1439.35|"Supermercados"|2020-01-18|"transaccion"
16|1365.3|"Gasolineras"|2020-01-03|"transaccion"
72|1884.13|"Farmacias"|2020-03-23|"transaccion"
92|1104.49|"Restaurantes"|2020-01-10|"transaccion"
70|918.77|"Supermercados"|2020-03-23|"transaccion"
83|1681.47|"Farmacias"|2020-01-06|"transaccion"
60|3000.82|"Tiendas por Departamento"|2020-01-15|"transaccion"
99|1908.98|"Supermercados"|2020-01-24|"transaccion"
55|1204.8|"Supermercados"|2020-01-22|"transaccion"
39|1726.9|"Restaurantes"|2020-03-11|"transaccion"
91|1522.14|"Comercio General"|2020-05-08|"transaccion"
1|1903.58|"Supermercados"|2020-06-30|"transaccion"
44|2154.95|"Restaurantes"|2020-04-18|"transaccion"
11|988.71|"Supermercados"|2020-04-27|"transaccion"
59|883.25|"Restaurantes"|2020-05-31|"transaccion"
42|1732.07|"Supermercados"|2020-05-22|"transaccion"
74|2115.5|"Restaurantes"|2020-05-01|"transaccion"
31|1755.05|"Comercio General"|2020-06-02|"transaccion"
98|1567.95|"Tiendas por Departamento"|2020-05-06|"transaccion"
17|546.74|"Supermercados"|2020-05-22|"transaccion"
91|1279.23|"Tiendas por Departamento"|2020-04-20|"transaccion"
31|0|"Tiendas por Departamento"|2020-04-27|"reconciliacion"
92|715.4|"Supermercados"|2020-06-25|"transaccion"
20|1805.09|"Tiendas por Departamento"|2020-02-22|"transaccion"
17|1887.73|"Restaurantes"|2020-02-25|"transaccion"
39|2096.14|"Supermercados"|2020-06-24|"transaccion"
